# Scramble Extremes — pseudo_pair / pseudo_xcross_pseudo_pair / WY / bin 7 (min)
# Population in this bin: 74
# Samples listed: 74 (all entries in this bin)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

144,U' L2 F2 D' B2 U L2 U' F2 L2 U' R2 U2 F' L B' D' R' U' F L' D2 U2 ,Y
145,F2 L2 D' R2 L2 B2 D' L2 U F2 D' L2 D' B2 D' F' L B' D' R' U' F L' D' U2 ,Y
147,U2 F2 D B2 L2 U' F2 D R2 D' L2 F2 R2 B' R D U F' L' D B' U2 R ,Y
148,F2 U' B2 U2 L2 U' B2 D' B2 L2 B2 F2 U2 B' R' D' F U L B' R' U' L' ,Y
149,B2 U2 B2 U' F2 R2 U2 L2 D F2 D2 L2 U R2 U' B' R F' D' U2 L' U' B' R U' ,Y
150,R2 B2 R2 L2 U L2 B2 F2 L2 D' L2 F2 U L' B' D R U' F2 U2 F L' B' ,Y
151,R2 D' F2 D R2 B2 D' R2 D' B2 U B2 U B' L' F L D U2 R L' U B' ,Y
152,L2 B2 U2 L2 D' R2 U2 L2 F2 U L2 B2 U2 B2 U2 B' L' F L D U2 R L' U B' ,Y
153,U L2 D' F2 D F2 U' F2 U L2 D L2 B2 U L' U' B' F D L' F2 R U2 B' ,Y
154,F2 D2 B2 U' F2 D' R2 U B2 L2 B2 F2 L2 U B' R' D F U L B2 R' B' U2 ,Y
713,U R2 D' R2 U F2 R2 U' L2 B2 U' B2 L2 F' R B' R' L2 U L D B R U' ,Y
714,D' B2 U2 L2 D' F2 D2 F2 R2 D' L2 U' F2 L2 U B' R2 U F' L' B R D' F' L' U' ,Y
715,B2 R2 B2 U R2 B2 D L2 D2 B2 U' B2 U2 R2 L' B' D R U F L' B' D2 ,Y
1027,U F2 U R2 D2 F2 D' F2 D L2 U F2 U2 F2 U' L' U F R B' D B2 L U2 F' U2 ,W
1253,L2 B2 U B2 U R2 U2 F2 D' F2 L2 U B2 D' B' R L' U' F2 L2 U' B F' L' ,W
5950,U' R2 F2 D' B2 U L2 B2 D2 L2 F2 U' F' D' R U B' U F R U' L' U' ,W
5953,L2 F2 L2 F2 D L2 U' R2 B2 U' B2 R2 L2 B' R D' U L D' B' R F' D2 U' ,W
5967,B2 R2 U' R2 U' R2 B2 L2 U' F2 D B2 D' R2 F' U B R' L' F R' D' U R' U2 ,W
5977,L2 D B2 L2 U R2 B2 U R2 B2 U2 F2 U L2 U' R' F D' U B2 R D2 B F L' U2 ,W
5980,L2 D' F2 U B2 R2 L2 U2 R2 D' R2 U2 B2 U' L' F' R D B D' U R2 B' L' ,W
5981,B2 D' R2 D R2 F2 R2 B2 U R2 D' B2 U' R2 U' L' F' R' F' U' B' F U L' ,W
5997,F2 D' F2 D' F2 U R2 D' F2 U R2 U' L2 R' U' F' U B' U' R' L' U2 F' ,W
218722,L2 D' L2 B2 D' F2 U R2 B2 U B2 D' L2 B' L' F L D' R' F' U' F' L D' ,W
399862,B2 R2 D' F2 U B2 R2 U2 R2 U R2 B2 D F2 U' B' R F2 U' R' F' R L B ,W
399863,B2 U L2 F2 D2 R2 F2 U F2 L2 D R2 D' L2 R' B' F U' B2 L U' R B' U' ,W
553591,D' R2 L2 B2 L2 D F2 U' B2 D F2 L2 D2 R' B' L' B2 U' B2 F' R B' U2 ,Y
553592,F2 D' L2 U B2 U2 B2 F2 L2 U' R2 B2 U2 F2 U2 R' F' L U R' F' R B R' U' ,Y
553595,R2 D' F2 D' R2 D B2 U' F2 U L2 F2 U2 R2 F' R' B2 U R B' R' L' F' ,W
638211,D' L2 B2 U2 F2 D' F2 D' B2 U B2 L2 D U' F' R' B D L2 B2 L' F' R' U2 ,W
865875,L2 U2 F2 R2 B2 U' L2 D F2 R2 F2 D' L2 U' B' F' U' R L' B D2 F' D U' L' ,W
865880,U' F2 D' L2 U' F2 R2 U' R2 D' R2 L2 U' B' U2 F2 R' L' B D' F' L' ,W
865882,F2 U' L2 U' B2 R2 U2 L2 D' B2 F2 L2 F2 D' U2 B' L2 U L F R' B D' L' U ,W
865885,U2 L2 F2 D R2 U' B2 L2 U L2 D2 F2 D' U' B' L' F R2 D R B' L' D' U2 ,W
865888,B2 D' R2 L2 U' R2 D U' F2 D' B' L U' L2 U R U2 B F L' ,W
865898,L2 B2 F2 U F2 U2 R2 L2 U B2 U' R2 B2 U2 R' F L' B' R' D F L' D' L' ,W
865900,L2 B2 L2 D' L2 B2 F2 D R2 L2 F2 D U' R' F L B2 L2 D' B' R F U ,W
884264,D L2 D' B2 D F2 U' F2 R2 D F2 U R2 F' U' L' B2 L2 B R F' D' L' U' ,Y
884265,D2 B2 U L2 D L2 B2 U B2 D' F2 U' F2 U2 B2 F' L B2 U' L' B R L F' ,W
884266,U2 B2 U B2 D F2 D2 F2 L2 D F2 U' B2 D F2 R' B D B2 F' R' D' L' B' ,W
1012061,B2 D' R2 U' B2 D F2 R2 L2 U' B2 L2 D2 R' B' L' B2 U' B2 F' R B' ,W
1012065,L2 D' F2 L2 D' L2 U2 B2 F2 L2 B2 D B2 U2 R' F' L B2 U B R' F' U' ,W
1146240,B2 L2 U R2 F2 D B2 R2 D' B2 D2 B2 R2 U R' B2 U B L F' R D' B' U' ,W
1146241,D2 F2 R2 U' F2 U R2 D2 R2 B2 D F2 L2 R' B L' U' R B R' F' R U' ,W
1206426,B2 U' F2 R2 U' L2 F2 D R2 F2 D2 F2 U' L2 U' R' F' U B' R2 U R L' F U' ,Y
1206863,U' L2 U L2 D F2 U2 B2 L2 U F2 U L2 U2 R2 F' L' D' R' B' F2 D F R' ,W
1206869,D2 B2 U2 R2 F2 L2 B2 U B2 D' B2 U2 F2 D' L' F' R L2 D L2 B L F ,W
1217786,D' L2 U' L2 U' B2 D R2 B2 L2 B2 D' F2 D2 R' B' F U F2 L' U R' F U2 ,W
1217795,B2 U L2 F2 D2 R2 F2 U F2 L2 D R2 D' L2 R' B' F U' B2 L U' R B' U ,W
1217800,D' L2 D' F2 U2 R2 U L2 B2 F2 U B2 F2 R2 U2 R' B L B2 D B2 F R' B ,W
1235823,R2 B2 U' R2 D' F2 D2 R2 B2 D' R2 D' F2 L2 U' R' B' L F2 D F R' B' D' ,W
1235826,U' R2 B2 U' B2 U' L2 F2 L2 U' B2 D' R' B' L F2 D F R' B' D' ,W
1235828,B2 D' B2 F2 R2 D F2 D' F2 D B2 D F2 U R' F2 U' F' L' B R' D F U ,W
1243607,D' L2 B2 U2 F2 D' F2 D' B2 U B2 L2 D U' F' R' B D L2 B2 L' F' R' ,W
1245740,F2 R2 B2 D L2 D F2 L2 U' B2 U2 B2 R2 U R' D2 B' L B' F' R' U' B' L' ,W
1247634,D' L2 F2 D' B2 D' B2 L2 U2 R2 D F' L2 U' L' B' R F' D L U ,W
1248613,L2 D2 R2 F2 D F2 U R2 F2 D2 R2 U F2 U2 B' R F2 U' R' F' R L B L2 ,Y
