# Scramble Extremes — pair / xcp / BGOR / bin 4 (3rd-smallest)
# Population in this bin: 97
# Samples listed: 97 (all entries in this bin)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-26T04:37:30.356Z
# Columns: id,scramble,bottom_color

80535001,R F' U2 L2 U D2 R U D' B U' L2 B R2 B' D2 B,G
81610001,R2 F D2 B U2 L2 U2 B U2 F2 R' B' R2 U2 F D2 B2 U' B',R
83417001,D' U2 F2 U' L2 B2 F2 U' F' L2 U' F D2 L2 R D' R' U2,O
86524001,B2 L2 U' R2 D' U2 F2 D U L F' U' B' U' R2 B2 L2 B L2 B D',R
87629001,L' F2 L2 B2 D2 L2 F2 R U2 R' U' B F2 R F' R2 F' R' F',G
88058001,D B2 U R2 D' L2 R B' F U2 B R U B U B U' L',G
100145001,F' L2 F2 U2 L2 F2 U2 L2 U2 F' R U' L' D' U L' F U F2 U',R
108204001,U2 R2 L2 F2 D B D' R2 U L2 F' U2 B R2 L2 F2 D2 F,B
123688001,B U2 B F2 R2 B2 R2 D2 R2 F2 D L2 B U2 B2 L U L' R2 D',R
125351001,B D' L D' R2 L' F U2 D B2 D2 L2 D2 R2 F2 R B2,O
125381001,B' R2 U2 B2 F' D2 F L2 F2 L' F2 R B R2 B2 F U' B U L' F2,G
126324001,U' R2 D' U' B2 U B2 L B' D2 F L U' R U2 L2 B U F L2 U',O
132039001,R' L' D' R2 B L B' R' B D' F2 D2 L' B2 L2 F2 U2 R' L,G
138389001,U2 L U D2 R D2 B U' B' U R2 D2 L2 U2 L' U2 R B2,B
151501001,D' L2 U2 B' U L' F B' U' R2 F2 U2 F D2 B R2 B' U2 F' R2,R
152399001,B2 L D2 R D2 F2 D2 B2 U' R' B D R2 B2 U2 R2 B2 D2,O
157736001,B' U' R2 L D L' U F2 R' D B' R2 U2 F' U2 B R2 B',R
160727001,B2 L2 R2 D B2 D2 F2 D' B2 U' R' D L D2 R2 B' L2 B L',O
164772001,D2 F L2 F R2 F' D2 B2 F2 L' R' F L2 B2 R U B U' F2 L,R
168240001,R2 B2 D U2 F2 D' U F' L2 U' F2 L' R B R' B2 R2 D2 U',B
169830001,F2 B U D L F' D' R2 D' L B' D' R2 B2 U F2 R2 L2 U',B
170068001,D' B2 R' F' L D' R' D2 R D' R2 U2 B' U2 B' D2 R2 U2,R
173698001,F2 D2 R2 F' R2 B' D2 F L2 R' F2 D B' D2 B' D2 B' L2,G
173992001,L U2 R' F R2 F' D2 B U L2 F' U2 L2 F2 D F2 D L2 F2,O
174349001,U' F2 U2 D2 L2 D2 F' U' R' F' D2 R B2 D2 L2 F2 R B2 R U2,B
174508001,R2 U2 L2 F2 D F2 L2 B2 U2 R' U' F' L' F D' L2 U2 R2 D' B L2 U,G
175632001,R2 U2 F2 R B2 R B2 F2 D B2 D' R F2 L' B' D' B' F2,R
176783001,B' U' B U2 B U' B2 D2 L B D2 L D2 L' D2 B2 U2 R2,G
179244001,L2 D2 F L2 D2 F U' F D R D F D F' U2 L B',R
185564001,R2 B2 D B2 U' B2 F2 L2 U2 B' R' U' L2 B2 L' B' U2 L' B2,O
188075001,U' L2 U F2 L2 R2 U2 F' U' B2 D' L2 D R2 B' U,G
190589001,R2 B' D' R2 U R' D2 F' L2 D' R2 D2 L2 F' U2 B2 U2,G
196420001,F2 L F2 L' D B2 D2 B' L2 F R2 U' R2 U' L2 D L2 U2 R2 D,B
207925001,D2 R' U' B2 D2 F' L2 F L' F2 D2 R2 D' R2 F2 R2 D2 L2,R
209041001,F2 D2 L2 U F2 R2 D' F2 L2 R' D L U2 F' L F2 D L F2,B
209606001,D2 F2 L' R' D2 L R' U B2 L' R' B D' R2 B' D U2,G
211490001,D2 U2 L' B2 F2 L' U2 F2 R F2 L D' R F L' F' D L2 U B2,O
214704001,F D2 B R2 D2 R D2 F' L2 U' F' R2 L2 D B2 L2 U',O
221498001,B D2 F L2 B' L2 U2 B L R B U2 F2 D2 R U' B' D2 U B' L2,G
224402001,D' F' U2 F' B2 U' F' R D F D2 L2 F' D2 B U2 F D2,B
226890001,L2 B' L2 R2 D2 B2 F2 R2 U2 F2 R U' R B' L U' B L' R D' L',O
228895001,L2 B2 L2 B2 U B2 U' L' D' B' L' B L2 D' B L2 B' D2,G
238917001,F2 U B2 D' F2 D' L2 D2 R2 F D F L' R2 B L' B,G
242080001,L' D F D' R L F B' U F2 R B2 D2 L' B2 L B2 D2 L,R
248675001,U L2 U2 B2 U D R F B2 L F2 B' U2 R2 B R2 B' D2,B
248842001,U2 L2 R2 B' L2 D2 L2 D2 F R D2 B2 D' B2 L2 R U2 L' U2,B
249035001,R' L U2 R' F L2 F L' B2 D2 R L2 U F2 D F2 U',R
262159001,B D2 B' R2 B' R2 D2 F' R B2 R U' R2 U B F' L' U2 R',O
262223001,U' B U2 B D' L' F' D2 F U2 L' D2 R' B2 R B2 D2,R
267981001,L2 U B2 U R2 F2 R2 B2 U' R2 U2 B' R2 U2 R B' D' U' R2,G
270375001,F U' F2 B2 L U B2 U2 R F' R2 U2 F2 B' D2 L2 B' D2 F R2,O
270576001,F2 U' D' B R2 B' U B U' L' F2 L2 B2 U L2 B2 D F2,G
279134001,R2 F2 L D2 B2 R D2 R' D2 R U' L' B' R2 B' F2 L' D U',R
280225001,L2 D B2 F2 R2 D L B2 D L' U2 F2 L F R F2 R U,O
282284001,D L2 D2 B2 D2 U' L2 F' U L' R2 U F' L2 F2 R B2 U,G
283181001,R' D R D' F' D2 F' B2 D' B2 L' D R2 U' B2 D' F2 L2,B
284443001,D F B' R' B2 L D2 R U L2 F' L' U2 R' L2 U2 B2 U2,G
287587001,D2 L2 D' B2 L2 D' U' B2 U' F2 U' B' R2 B D L' U' L U',G
293516001,F L2 B' L2 F D' F' R2 D' B R2 U D F2 U' L2 B2,G
294276001,R2 L D' R' U B' R2 U' R2 U R2 B R2 D2 L2 U2 L2 B2 D2,G
295849001,L2 D' F2 U B2 L2 U' L U2 R F U F U2 L2 B2 L D2,G
296572001,L D' F' L' F2 U F2 U F D F' D' F2 U' B2 L2 U2 R2,R
301309001,L' D2 R B2 L U2 R' U2 B L2 R' D B' U2 R' B' R' B,G
305223001,L2 U2 F2 U2 F' D2 F' U2 R2 U2 R F D U2 L R F2 R F' L',B
308804001,L2 D' B2 L2 D2 U B2 R2 U2 B D2 R' B R F D U B2 R,G
312929001,U2 L U2 L2 F2 L R2 B2 D' U' B2 R' F' L F D' F' U' B2,O
317582001,B2 L2 U' F2 D F2 R2 D2 F2 U B' L2 U2 R2 U' F' D2 L',B
318794001,L2 B2 L R2 D2 B2 L' D2 B2 L' D' B2 L B' R U' L' U' R U2,R
319056001,F2 D B2 D F2 L2 U B2 L' R2 B D2 F2 U R U2 R2 D L,O
320028001,R B2 R' U B' R2 B2 U R' U' F R2 L2 F' U2 R2 U2 B L2,G
321041001,B2 U2 F2 D2 L U2 R U2 F' D2 L F U B' D' U B U2 L2 D,G
342433001,R' F2 D' B' L2 U' L2 F' D2 R' U L F2 L U2 R' B2 U2 B2 D2,R
342679001,F2 U' F2 R2 D F2 D F2 L' U' B2 R2 B D2 B' F' D' F' L2,R
345899001,B2 D2 R2 D2 B L2 U2 F2 R' B2 L' B U2 F D R D U F,B
346665001,B' R2 B' U2 B L2 R2 F2 D F2 U' B2 F D2 F U B2 F',G
