# Scramble samples — std / cross / R / bin 8
# Population in this bin: 680
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-07-14
# Columns: id,scramble,bottom_color,competition,round

2275001,F2 U2 L B2 L2 F2 U2 F2 L F2 R' D B F R' D F2 U L B',R,IIT Roorkee Open 2014 (2014-03-21),333 Final C #5
2535001,B2 U R U' L' F U2 B2 R2 D' R2 D2 B R2 F R2 B R2 B L2,R,CMI Fiesta Open 2014 (2014-03-21~23),333 R1 H #1
4441986001,D' F' B L' U' R U2 F D' L2 B' D2 F D2 L2 U2 R2 F D2 F,R,Franconia Winter 2025 (2025-01-24~25),333 Final B #5
12322001,R2 D2 F2 U' R2 B2 F2 U L2 U F' R' F U' B' D' F2 L B D F L2 U,R,Pantheon Cube Open 2014 (2014-04-12),333bf Final B E1
2767739005,R2 B' D R L2 B' U' D' L U2 L U2 L2 F' B' L2 D2 F,R,Gem City Airplane Mode II 2023 (2023-06-01),333mbf Final A #1
5224181052,D' L D' B D' R2 D B2 D B2 U R2 F2 L' F U' B D R F L2,R,PBQ Madness in Dobřejovice 2025 (2025-11-29),333mbf Final B #3
5696010001,U' B2 D' R2 D2 B2 R2 D B2 L2 R2 B' L' D' R2 F2 D U' R' U' B R2,R,Rotterdam Big 'n Brain 2026 (2026-06-13),333bf Final A E1
33665001,D F' U R L' B2 U2 D' L2 F L2 F2 U2 F2 R B2 R' D2 R L,R,P3 Grand Open 2014 (2014-06-28~29),333 R1 P #5
3225651040,U' B2 L' U2 R B2 U2 B2 U2 B D2 R U2 R' D U' F' L F L B',R,Stockholm Mental Meltdown 2023 (2023-11-05),333mbf Final A #1
34276001,F2 L2 F U2 L2 F' R2 F' L2 D2 U' F L' D' B L F2 L2 U' R U L,R,Valenzuela City Open 2 2014 (2014-07-05),333bf Final B #2
1610642001,U D2 B L U L2 F' D' R U L2 B D2 B' R2 F U2 B2 R2 B D2,R,Bergen Open 2020 (2020-08-02),333 R2 A #5
4525780001,L U L2 U2 F U2 L2 B D2 B2 L2 F' D2 B2 D B' U' L' F' D2 B',R,Delacuesta al Cubo VI 2025 (2025-02-22),333 R2 B #5
4845239001,D U2 L2 B2 D' F2 D2 U2 F' R' D2 B2 R' U F2 D2 L' B R,R,Waihopai Winter 2025 (2025-07-05~06),333 Final B E1
90338001,B' D2 F2 U2 L2 B' D2 B' D2 L2 B' U' R2 B2 F2 L B R' U F D,R,Kharkiv Winter 2014 (2014-12-13~14),333 R1 A #2
4276690030,B' L D F L' U' B' U2 F2 L F2 U2 L U2 D2 R F2 B' D2,R,Colombian Nationals Avenida Chile 2024 (2024-11-09~11),333mbf Final A #1
4280185001,D' U L2 U' F2 D F R' D2 U' L R' U2 R F' R2 D2 U,R,Kubing in Kapiti 2024 (2024-11-09),333 R2 A #1
3753989001,U2 F' L2 D2 R2 B2 U2 F2 D B2 L F' D B F' D2 R B' D2,R,Cebu Summer Open 2024 (2024-05-11~12),333oh R1 C #5
4721214001,B2 R2 F2 R' D B' U F D L U' F2 R2 L2 U2 D R2 L2 U,R,CubiKonce 2025 (2025-05-11),333 Final A E1
114595001,F2 D L2 R2 U R2 F2 R2 B' L D' F2 R F' L2 R2 U' B2 R,R,Montgròs Open 2015 (2015-02-28~03-01),333 Final A E2
5384065020,U2 B' U2 F' R2 B2 F' R' D B2 D F' R2 D' L' D' U B' D2,R,Bara Multi-Blind i Jönköping 2026 (2026-02-15),333mbf Final B #1
138367001,F2 L2 D2 F2 D B2 U' B2 U B L F' R' U' L' F' U' L D,R,UW Spring 2015 (2015-05-09),333 Final A #3
5006426001,U2 R U' D' R2 U2 D2 F2 B' L' F' U2 B2 U2 F' R2 F' R2 U2,R,Cubing Days Neuburg 2025 (2025-09-06~07),333 R2 A #1
2642167001,R2 U' R D2 F R' B' D2 F' D B R2 D2 F2 B U2 L',R,El Puente San Gil 2023 (2023-04-16),333 R2 C #1
1174001001,D2 R2 F' D2 B' R2 F D2 R2 D B R' B2 D2 B2 D2 F L' D' F L' F2,R,Pulmapelipäivät 2019 (2019-06-07~09),333mbf Final A #1
180661001,D2 F2 R' U2 F2 L' U2 L2 D' B2 L B2 F' D2 B D B' U F',R,Cubic Catastrophe 2015 (2015-08-22),333 R1 C #3
190198001,D2 B2 F2 U' L2 F2 D R' U L' D B' U F' L B2 D F2,R,Milan Cube Days 2015 (2015-09-19~20),333 R2 A E2
5019339001,B' L' U2 R D L2 F2 D' F2 R2 B2 L2 D' F D2 B2 R2 U B' D',R,Weston-super-Mare Autumn 2025 (2025-09-13~14),333 R1 D E1
3770032006,U' L2 B2 U L2 R2 U R2 D2 L2 R' F' U2 B L2 D' B' R2 U2 F L' F2,R,Quiet Seattle Spring 2024 (2024-05-18),333mbf Final B #1
3480131001,L2 F B' D' B2 U R F R2 D2 R2 L2 B' L2 D2 L2 F2 R D,R,Daegu Cold Winter 2024 (2024-02-03~04),333 R1 J #1
198488001,R' F2 U F B R2 U2 B2 L D' R B2 D F2 L2 U2 F2 U L2,R,SP Open Mini 2015 (2015-10-10),333oh R1 F #2
2970058001,R L2 U' L2 B2 L2 B2 D L D2 R U2 R B' F U B F2,R,TKTK Workday Cubing II 2023 (2023-08-07),333 R1 B #2
207249001,D2 L2 F2 R2 D L2 D R2 D' L2 D2 F R' D U R2 D B R U2 L2 B R,R,Las Lomas 2015 (2015-10-24),333bf Final A #1
3120221001,D B U2 D2 F' U L' F R' B2 U' F2 D2 B2 D' R2 U2 R2 F' R2,R,Bengal Cube Open 2023 (2023-09-22~24),333oh Final A #4
213587001,F2 D2 B' L2 D R2 U2 L' D L U2 B' U2 R2 U2 F R2 U2,R,Hayward Rubik's Rumble 2015 (2015-11-07),333 R1 F #3
1853976001,U2 F R' D2 L2 B2 F2 D' F2 D' L2 U' F2 R' D' B R F D2 R,R,Ohio State Expo Open 2022 (2022-04-01~03),333 R2 B #5
224324001,U2 F L2 D2 B R2 F' L2 F R' U B L B' R' D2 B' D L' U2,R,Johannesburg Open 2015 (2015-11-29~30),333 Final A #2
225294001,F2 R2 D L2 U2 R2 U' B2 D2 B D' R D L R' F' U' L2 U R2,R,Atlantic Open Fall 2015 (2015-12-05),333oh R1 A E1
2115874001,F' R D L' B2 U' B2 F2 U' L2 U' R2 D F' R U R B D F2,R,Peru Nationals 2022 (2022-08-19~21),333 R2 A E2
