# Scramble samples — eo / eo_xcross / BG / bin 4
# Population in this bin: 101
# Samples listed: 101 (all entries in this bin)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-06-09
# Columns: id,scramble,bottom_color,competition,round

33688001,D' L D2 R2 L' D R' B' D L' F D2 R2 B2 U2 B2 D2 B D2,G,P3 Grand Open 2014,333 R1 S E2
41772001,D' R2 B2 D R2 B' D F D2 B' F' D2 R2 D F2,G,Indian Nationals 2014,333 R1 A #5
68271001,U F2 B D' B2 D B D2 B' U R2 D B2 U L2 U' B2 D,G,Rice University 2014,333 R2 B #3
108204001,U2 R2 L2 F2 D B D' R2 U L2 F' U2 B R2 L2 F2 D2 F,B,San Pedro de Macoris Open 2015,333 R2 A #4
188075001,U' L2 U F2 L2 R2 U2 F' U' B2 D' L2 D R2 B' U,G,LMDL Open 2015,333 R1 B #3
192975001,R2 F L2 U2 B' U2 F L2 U2 F D F' U F' D F' D' L,G,Warsaw Cube Masters 2015,333 R2 C #2
198569001,B2 L2 F2 L R U2 F2 D' U2 F' R2 D' L F' U' F L',G,SP Open Mini 2015,333 R1 D E1
220274001,D2 B2 F R2 U2 B R D' L' U2 L' D' B' L' D2 B2 L,B,River Hill Fall 2015,333 R2 A #1
238917001,F2 U B2 D' F2 D' L2 D2 R2 F D F L' R2 B L' B,G,Great Indian Cubeathon 2016,333oh R1 G E1
273595001,U2 R2 D2 L2 F' U2 F2 D' L F2 L D' U F2 D' B2 L F',G,Indian Nationals 2016,333oh Final D #1
293516001,F L2 B' L2 F D' F' R2 D' B R2 U D F2 U' L2 B2,G,Hari ng Norte 2016,333 R1 B E2
317582001,B2 L2 U' F2 D F2 R2 D2 F2 U B' L2 U2 R2 U' F' D2 L',B,Slow N Steady Spring 2016,333 R2 B #2
340801001,R F' B R2 F' R' F' R U2 D2 L' F2 R D2 R L F2 R,B,Cube Camp in Kanazawa 2016,333 Final A #5
345280001,D2 F L' D2 F U2 L' B' R2 U2 D2 R' U2 F2 B2 L' U2 B2 L2,B,Indonesian Championship 2016,333 R1 C #1
346665001,B' R2 B' U2 B L2 R2 F2 D F2 U' B2 F D2 F U B2 F',G,Santo Domingo Summer 2016,333oh R1 A #5
355998001,U2 D' B2 L2 B D' B' R2 B' U' D2 F2 U' F2 L2 U D2,B,Oregon 2016,333oh R1 B E1
361293001,R2 B' F' U2 L2 U2 R2 B2 U2 R U R2 B L F U2 R B F',G,New York City Summer 2016,333 R1 D #1
517192001,L2 U2 B D2 F2 L' D2 L' B2 D' F' U2 F L2 D2 B' U2 B R2,B,Indian Nationals 2017,333 R1 K #4
522578001,D F L D' F2 B' U B2 R' F2 U2 F2 L2 F2 R2 F2 U F2 U2,G,Fecap Open 2017,333 Final A #4
533270001,U F2 U2 B2 D' L B L' B L D B L' D B L U2,G,Kansai Open 2017,333 R1 D E1
630679001,R2 F L2 R2 D2 B U2 B' L2 R F' R' F U2 R' F,G,Villa Open 2017,333oh R1 A #5
633640001,R2 F' R2 D' F' D2 R2 B L2 U' L2 U R2 D' R2 D2,G,Munich Open 2017,333 R1 D #4
660460028,L2 D2 R2 B2 R2 F2 D L2 D2 U F' L2 U2 L U2 L' F' D B' U' L B,B,Italian Championship 2014,333mbf Final A #1
660884001,F2 D2 R2 B F' D2 R2 F D' L B2 L F' R U2 F' L F' D2,G,Plenty o' Parity 2015,333mbf Final A #1
661146001,L2 R2 B' D2 B' R2 B2 L2 U F2 L2 F' R F R' D2 B L B2,B,Porto Alegre Open 2016,333mbf Final A #2
740158001,D2 L' B2 R D2 F2 L2 D2 L' B U L' U R' U R2 D,B,French Championship 2018,333bf R1 A E1
756260001,U2 L2 F2 L2 U B2 D B2 R F' U' R U' F' U' L2 U L U,G,Santiago UV de Otoño 2018,333 R1 I #1
756317001,R' U2 B2 U2 L2 U2 R' F2 R2 B F2 D L' R2 U2 F' D' L2,G,Santiago UV de Otoño 2018,333 R2 E #2
793777001,L2 F2 U L2 D U F' U F R2 D2 U' B' D' L2 U2,B,Slovakian Cube Day 2018,333 Final A #2
812609001,L2 F2 U2 L2 D' F2 L2 D F2 D2 R2 F R B2 L2 R B U' L' F' R',B,Tianjin Summer Open 2018,333 Final A #2
865520001,U2 B' U L' F2 D2 R B' U' R' B' U' D' L2 F2 B2 U2 R2,G,Cuernavaca Summer 2018,333oh R1 C E2
920254001,B' U2 B2 D2 U2 B' U2 B U' B2 U B U' B F L' F' R2 F L' F2,G,Polish Championship 2018,333bf R1 B E2
948479001,F2 R2 B F2 U2 F U2 R2 B' D2 U2 L' B' F2 R2 F' R F L R',G,Vladivostok Winter 2018,333 R1 B #1
975123001,L2 B' R2 F2 R2 F L' D F L D R2 B D' R' F2,B,Another Bruin Cube Day 2019,333oh R1 A #5
1004827001,B2 U2 F2 D R2 B2 D B2 D' F2 U2 B U2 R2 D F' D' R U2 B2 D,G,Return to Toronto 2019,333 R1 A #1
1014708001,U R2 U' L2 U B2 D2 F2 L2 F R2 F' R2 D2 F L U2,B,West Branch 2019,333 R1 A E2
1015333005,B2 R B2 D2 U2 L' F2 R2 U R' D B' F' R D F' U B' D L' F,B,Medan Lunar New Year 2019,333mbf Final A #3
1142358001,R2 F U' R2 U F U' R2 U L2 B L2 U2 R2 F2 L2 F2,B,Cochabamba Open 2019,333 R1 C E2
1172827001,L2 B2 L2 F2 U2 B2 U2 R B L' F2 L' B2 L' D2 L2 B R',G,Breda Open 2019,333 R1 B #4
1236793001,F2 U2 F2 U2 F U2 L2 F' U F U' R2 B' L2 B' F2,B,SSN Cube Open 2019,333 R1 D #5
1307755001,D2 L R' D2 B2 L' D2 F2 D2 B R2 D2 F' U2 R2 D2 L B,G,Grecia Open 2019,333 Final A E2
1372783001,D2 F2 R2 D2 R F2 U2 R2 U R D' B2 D L U' B2 D2,G,UK Championship 2019,333 R1 B E1
1462209001,R2 U2 L2 B' U2 B2 F2 U2 L D F2 U' L2 D' U2 F U L2 U' L B,G,New Zealand Nationals 2019,333bf R1 B E2
1520329001,U F U2 B2 U2 B' D R2 F U' F' R2 F L2 B' U2 F2,G,Regreso a Clases Bogotá 2020,333 R1 C #5
1524854001,B' L2 U2 R2 D2 B R2 F2 R2 F' U F' L' R F' R2 B' U2 L',B,Washington Championship 2020,333 R1 B #4
1628627001,R' B2 R' U2 L F2 R U' R U' R2 F2 L' B2 U' L' U',G,South Perth Summer 2020,333 R1 E #4
1673019001,B2 L2 B' U2 L2 B' U2 B R D' B2 L2 B2 F' R' D L2 U B,G,WA State Championship 2021,333oh Final A E2
1728229001,F2 U R L' F' L F' D B' R2 L D2 B2 L' F2 R' B2 U' B,G,BrizZon Side Open III 2021,333bf R2 B #1
1826406001,R2 F' D2 L' R2 F2 R' B2 R' D2 R2 B' U2 R D' R' D' F,B,Florida Spring B 2022,333oh R1 B #5
1915210001,U R' F2 D2 R2 U2 R2 B D2 B' R' D L2 D2 L2 B' F2 U B' L,G,GamMa Spring 2022,333bf R1 A #3
1933444001,F R2 U2 F2 U2 F L2 B' R2 D2 L2 R U' L' U2 B R U',B,Colorado Cubing Weekend 2022,333 R1 B E2
2046930043,U D' F D' R' B U F2 B2 R' U F2 U2 R2 U L2 B2 U2 L2 B' L,B,Rubik's WCA South American Championship 2022,333mbf Final C #1
2101177001,L D2 L F R2 U' L2 U' B' D2 R2 L' U2 F2 L2 U2,B,Rubik's WCA Asian Championship 2022,333 Final A #3
2255425001,U' F' L2 B L U2 D R2 B U2 B2 L2 U' F2 D' F2 R2 L2 U2,G,Darmstadt Dodecahedron Days 2022,333 R2 B E1
2269598036,F2 U L B2 U' F2 B2 D' L2 D2 L2 U2 F2 L D L' U L B,B,Kewbz UK Championship 2022,333mbf Final A #2
2365686001,B' D2 L2 D2 R2 F' U' B' D' B2 F' L D2 F' L' D2 L',B,Mongolian Open 2022,333 R1 J #3
2533429046,U' F2 D R' U' D L F D' U2 F R2 B2 L2 D2 F2 B' R2 U2 D B' L2,B,MBLD in a Madison Meeting Room 2023,333mbf Final A #2
2566443001,U2 D' F' U2 D' B D2 B' D' B2 D2 R2 F2 D2 F U2 B L2,G,Bolton Spring 2023,333 R1 A #1
