# Scramble samples — pseudo / pseudo_xcross / B / bin 2
# Population in this bin: 125
# Samples listed: 125 (all entries in this bin)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-06-09
# Columns: id,scramble,bottom_color,competition,round

31993001,B2 D' L2 B2 R2 F2 U' L2 U B' U' B F' R B' L B' F2 L',B,ULA Rubiks 2014,333 R2 B #2
65804001,U' L D' F2 R' F R2 U2 R' U' R F2 R' L2 F2 U2 B2 U2 B2 L',B,Back to 360 2014,333 Final B #2
67230001,D2 L2 B2 U L2 R2 F2 D2 B' U' B' U' B' R' B R B' D2 F2 L2 U2,B,UPV Open 2014,333bf Final A E1
67895001,F2 R2 D' F2 R2 D' U2 L2 R D R' D2 R D' L2 D U2 F',B,DJ Open 2014,333 R1 G #5
78504001,D2 B' R2 D' R F2 B' L B R U2 B2 R2 B2 R2 D' R2 U',B,Yangling Open 2014,333 R1 A #2
99925001,B2 R2 B2 F U2 F2 D2 R2 B U2 F L B2 F U B2 L D B2 R' F',B,PB Smashathon 2015,333oh R1 B #3
197387001,B2 L2 D2 F D2 L2 F2 L D' L B2 R U B' D R' B2 D',B,Cubetoberfest 2015,333 R1 C #4
220274001,D2 B2 F R2 U2 B R D' L' U2 L' D' B' L' D2 B2 L,B,River Hill Fall 2015,333 R2 A #1
248842001,U2 L2 R2 B' L2 D2 L2 D2 F R D2 B2 D' B2 L2 R U2 L' U2,B,Frankfurt Cube Days 2016,333oh Final B #4
249035001,R' L U2 R' F L2 F L' B2 D2 R L2 U F2 D F2 U',B,Manchester Open 2016,333 R1 A E1
260607001,U R2 B2 D' B U' F R' U F R2 D2 L2 D2 R2 B L2 F L2 U2,B,Big Apple Cube Clash 2016,333 R1 J E2
342445001,L' R2 F2 R' U2 B2 U2 L2 D L' F' L' U B2 L D2 U' F',B,SSN Cube Open 2016,333 R1 H #4
360213001,U2 R B2 U2 L R2 D2 F2 D2 R' U L2 U' F R B' D2 F U B',B,Kharkiv Cube Day 2016,333oh R1 A #2
410742001,D F2 L2 D L2 U F2 L2 U L2 B R D' F U L2 U' B2 R2,B,Urdaneta City Fiesta Open 2016,333 R1 A #1
444899001,L2 U F B' U' B' D' R2 B' L' D2 L2 U' L2 B2 D R2 U2 L2,B,Berkeley Winter 2017,333 R1 H #5
457343001,U' F U' D' R2 L' D2 F' D2 F U R U2 D2 L' B2 L2 B2 R2,B,For The Love Of Cubing 2017,333 R1 D #3
493085001,R' F' D L2 U2 B2 L' D2 F D F L2 D2 B' R2 F U2 F' B',B,Reno Spring 2017,333 R1 E #4
513731001,D L2 R2 U R2 D2 U' F' L' B L' D U B2 R2 U B L U,B,Belgium Summer Open 2017,333 R1 B E1
543128001,R' B2 R' F2 L F2 R B2 D' B2 F2 R U' L2 R' B2 D2 F',B,LETI Open 2017,333 R2 B E1
