# Scramble samples — pseudo_f2leo / pseudo_f2leo_xxxcross / O / bin 9
# Population in this bin: 59
# Samples listed: 59 (all entries in this bin)
# Source: scrambles.txt
# Generated: 2026-06-09
# Columns: id,scramble,bottom_color

105,L2 F2 D2 B2 L2 B2 R2 U' B2 U' L2 D B2 R' F U L' D' B2 R B F U ,O
127,B2 U' L2 D F2 R2 U L2 D' R2 D' B2 U2 L2 U' B' D' L' F' R U B' L D U2 ,O
710,B2 U' R2 B2 D F2 R2 F2 R2 D F2 U' F2 U B R2 U F' L' B R D' F' L' U' ,O
727,U' R2 F2 R2 D2 F2 U' F2 U L2 B2 L' B' D R U F L' B' D2 ,O
3213,F2 D2 L2 B2 R2 B2 U' F2 D' B2 F2 L2 D2 U L' U2 B U' R' D' F' L B' U2 ,O
3215,D2 F2 D2 R2 D B2 D' B2 U' F2 R2 U B' U2 L' D' U F R D' B' L' ,O
3217,F2 L2 U' B2 D2 L2 D L2 F2 D L2 U' R2 B2 U' L' U2 B U' R' D' F' L B' ,O
7209,D2 B2 D' R2 U2 B2 U' F2 R2 U L2 U' L2 F2 U B' L' F U2 R2 D R U B L' U' ,O
7246,L2 D L2 B2 F2 D' R2 U2 R2 F2 R2 U B2 D2 F' L U' B R D' F2 U' F' L' ,O
7248,D' B2 D2 B2 U' R2 U' R2 D2 F2 R2 L2 U R2 U2 B' R' F' R2 D L U F' R' ,O
7314,D2 R2 D' L2 D' B2 D2 F2 L2 D' L2 D' L2 U F2 R' F L' D' B' U' R U2 F' U' ,O
29127,D' R2 D2 R2 B2 D' U' F2 L2 U2 L2 U' B' F' D' U' R' L' ,O
98105,R2 L2 F2 D' B2 U F2 R2 D F2 R2 U' B2 F2 L' B' D' F' R U L B' U2 ,O
98106,D L2 D' R2 U2 L2 B2 D F2 D' L2 B2 L2 U2 B' R L' U F L' D' B F2 R' U' ,O
98107,R2 D' B2 U' F2 L2 U' F2 U L2 U' F2 L2 U' L' F D B R' U' L' F' ,O
98269,L2 F2 R2 D2 U' L2 D' F2 U' F2 D2 R2 U' B' D2 U2 R' D L' B' U' F' R' ,O
98270,L2 D2 B2 U R2 D' F2 R2 D' R2 U B2 U B' L' U' R' F' D B' D2 U2 R' U' ,O
98271,L2 U2 L2 F2 U B2 R2 B2 D' F2 D' B2 L' B' R U F D L' D2 B U ,O
