# Scramble Extremes — pair / xxcross_pair / R / bin 6 (2nd-smallest)
# Population in this bin: 24
# Samples listed: 24 (all entries in this bin)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:18:06.033Z
# Columns: id,scramble,bottom_color

583001,D2 B' D2 L2 F L2 F' L2 D L' D' L' F' D L2 U' L2 F,R
23691001,D R2 U F' R' D' R2 F2 D' B' U' D2 L2 U2 D' B2 D2 F2 U,R
32691001,F2 R2 B' U2 R2 F' D2 L2 D2 R2 U' F' R U2 B' D' F' U2 B F2 R2 B R2,R
55793001,R' F2 R F2 D2 L' U2 F D2 F2 U F2 L D2 L' F' L' U2,R
86524001,B2 L2 U' R2 D' U2 F2 D U L F' U' B' U' R2 B2 L2 B L2 B D',R
97412001,L2 D2 F U2 L2 B' F' D2 L2 D' R2 B' R' B R2 F L' U' F2,R
109702001,R U L2 B' U B' U F R F B L' F2 D2 R2 B2 D2 R L,R
119076001,D2 L B2 L' D2 L2 D2 B2 L2 D' B2 F L2 B D2 L2 U' R',R
120419001,B2 L D2 R' F2 R B2 F' L2 B' F D' L' R B2 U L' U',R
126171001,F D2 R2 B2 D2 B D2 F U R' F' D L R D' L2 R' U,R
131609001,F D' L2 U' D L2 F R D2 F2 B2 R2 U R2 F2 D' R2 U2 R2,R
166247001,U2 B' R2 F L2 D2 B2 F' R2 F U R U' L B' U2 L R2 U' L' D,R
179549001,F' L2 B D2 F2 U2 B' R U B U2 F D2 F' U' L2 R' B2,R
188184001,B U D' F' D2 F L2 B2 R2 L F2 B2 U2 L2 U' L2 D' R2 B2 U,R
208743001,U2 B2 F D2 F2 L2 R' B U2 B' R F' R' F U B D,R
215252001,R' L B L2 F' D L' D F' D' F2 R2 L2 F' R2 F2 R2 F' R2,R
218668001,B2 F2 R F2 L' D2 F2 U' F D' L2 B' D2 B' F U B D2,R
257431001,D R2 U' R2 B2 D R2 B2 D U' F2 L U F' R B2 L2 D2 F2 R U2,R
287124001,R F2 R U2 L' F2 L' D2 R B D' B U2 B R D2 F' L D F,R
322515001,L2 F2 D' R2 F2 D2 U2 R2 U' F D F2 U2 B2 L F2 R' B D' R,R
324829001,F R2 B' D2 F' R2 B' F2 R2 B U L' U B R' B' L' D2 B2 R,R
329762001,D' R2 B' R U' B R' L D' R F2 L2 U2 D R2 U2 F2 U2 F2,R
342433001,R' F2 D' B' L2 U' L2 F' D2 R' U L F2 L U2 R' B2 U2 B2 D2,R
342679001,F2 U' F2 R2 D F2 D F2 L' U' B2 R2 B D2 B' F' D' F' L2,R
